date,close_last_nvidia,close_last_sp500,close_last_apple,close_last_amd
2023-02-23,$23.664,4012.32,$149.40,$79.75
2023-02-22,$20.754,3991.05,$148.91,$76.61
2023-02-21,$20.655,3997.34,$148.48,$76.77
2023-02-17,$21.388,4079.09,$152.55,$78.50
2023-02-16,$22.002,4090.41,$153.71,$80.08
2023-02-15,$22.764,4147.60,$155.33,$85.18
2023-02-14,$22.971,4136.13,$153.20,$85.95
2023-02-13,$21.788,4137.29,$153.85,$83.13
2023-02-10,$21.265,4090.46,$151.01,$81.48
2023-02-09,$22.337,4081.50,$150.87,$83.21
2023-02-08,$22.205,4117.86,$151.92,$84.69
2023-02-07,$22.173,4164.00,$154.65,$85.91
2023-02-06,$21.089,4111.08,$151.73,$83.68
2023-02-03,$21.10,4136.48,$154.50,$86.09
2023-02-02,$21.709,4179.76,$150.82,$88.31
2023-02-01,$20.943,4119.21,$145.43,$84.64
2023-01-31,$19.537,4076.60,$144.29,$75.15
2023-01-30,$19.162,4017.77,$143.00,$72.45
2023-01-27,$20.365,4070.56,$145.93,$75.40
2023-01-26,$19.802,4060.43,$143.96,$75.16
2023-01-25,$19.323,4016.22,$141.86,$74.91
2023-01-24,$19.265,4016.95,$142.53,$74.70
2023-01-23,$19.193,4019.81,$141.11,$76.53
2023-01-20,$17.839,3972.61,$137.87,$70.07
2023-01-19,$16.765,3898.85,$135.27,$67.71
2023-01-18,$17.377,3928.86,$135.21,$70.53
2023-01-17,$17.702,3990.97,$135.94,$71.59
2023-01-13,$16.899,3999.09,$134.76,$71.00
2023-01-12,$16.511,3983.17,$133.41,$70.80
2023-01-11,$16.001,3969.61,$133.49,$69.06
2023-01-10,$15.909,3919.25,$130.73,$68.05
2023-01-09,$15.628,3892.09,$130.15,$67.24
2023-01-06,$14.859,3895.08,$129.62,$63.96
2023-01-05,$14.265,3808.10,$125.02,$62.33
2023-01-04,$14.749,3852.97,$126.36,$64.66
2023-01-03,$14.315,3824.14,$125.07,$64.02
2022-12-30,$14.614,3839.50,$129.93,$64.77
2022-12-29,$14.603,3849.28,$129.61,$64.82
2022-12-28,$14.036,3783.22,$126.04,$62.57
2022-12-27,$14.121,3829.25,$130.03,$63.27
2022-12-23,$15.206,3844.82,$131.86,$64.52
2022-12-22,$15.339,3822.39,$132.23,$63.86
2022-12-21,$16.501,3878.44,$135.45,$67.68
2022-12-20,$16.085,3821.62,$132.30,$65.05
2022-12-19,$16.254,3817.66,$132.37,$64.59
2022-12-16,$16.571,3852.36,$134.51,$65.41
2022-12-15,$16.952,3895.75,$136.50,$66.53
2022-12-14,$17.674,3995.32,$143.21,$68.93
2022-12-13,$18.072,4019.65,$145.47,$71.65
2022-12-12,$17.535,3990.56,$144.49,$70.67
2022-12-09,$17.001,3934.38,$142.16,$68.59
2022-12-08,$17.169,3963.51,$142.65,$70.47
2022-12-07,$16.12,3933.92,$140.94,$70.14
2022-12-06,$15.987,3941.26,$142.91,$70.27
2022-12-05,$16.61,3998.84,$146.63,$73.62
2022-12-02,$16.876,4071.70,$147.81,$74.98
2022-12-01,$17.135,4076.57,$148.31,$77.48
2022-11-30,$16.923,4080.11,$148.03,$77.63
2022-11-29,$15.639,3957.63,$141.17,$73.39
2022-11-28,$15.827,3963.94,$144.22,$73.19
2022-11-25,$16.27,4026.12,$148.11,$75.14
2022-11-23,$16.519,4027.26,$151.07,$76.40
2022-11-22,$16.038,4003.58,$150.18,$75.25
2022-11-21,$15.317,3949.94,$148.01,$72.46
2022-11-18,$15.409,3965.34,$151.29,$73.57
2022-11-17,$15.677,3946.56,$150.72,$73.90
2022-11-16,$15.91,3958.79,$148.79,$72.70
2022-11-15,$16.666,3991.73,$150.04,$76.37
2022-11-14,$16.295,3957.25,$148.28,$73.53
2022-11-11,$16.327,3992.93,$149.70,$72.37
2022-11-10,$15.75,3956.37,$146.87,$68.47
2022-11-09,$13.776,3748.57,$134.87,$59.92
2022-11-08,$14.602,3828.11,$139.50,$63.85
2022-11-07,$14.301,3806.80,$138.92,$63.08
2022-11-04,$14.156,3770.55,$138.38,$62.19
2022-11-03,$13.421,3719.89,$138.88,$60.11
2022-11-02,$13.219,3759.69,$145.03,$58.63
2022-11-01,$13.543,3856.10,$150.65,$59.66
2022-10-31,$13.497,3871.98,$153.34,$60.06
2022-10-28,$13.834,3901.06,$155.74,$62.01
2022-10-27,$13.176,3807.30,$144.80,$58.60
2022-10-26,$12.896,3830.60,$149.35,$59.73
2022-10-25,$13.261,3859.11,$152.34,$61.47
2022-10-24,$12.599,3797.34,$149.45,$58.70
2022-10-21,$12.466,3752.75,$147.27,$58.82
2022-10-20,$12.194,3665.78,$143.39,$57.77
2022-10-19,$12.051,3695.16,$143.86,$57.23
2022-10-18,$11.967,3719.98,$143.75,$57.92
2022-10-17,$11.888,3677.95,$142.41,$57.96
2022-10-14,$11.227,3583.07,$138.38,$55.94
2022-10-13,$11.96,3669.91,$142.99,$58.94
2022-10-12,$11.50,3577.03,$138.34,$57.85
2022-10-11,$11.586,3588.84,$138.98,$57.63
2022-10-10,$11.67,3612.39,$140.42,$57.81
2022-10-07,$12.076,3639.66,$140.09,$58.44
2022-10-06,$13.13,3744.52,$145.43,$67.85
2022-10-05,$13.209,3783.28,$146.40,$67.94
2022-10-04,$13.167,3790.93,$146.10,$67.90
2022-10-03,$12.512,3678.43,$142.45,$66.11
2022-09-30,$12.139,3585.62,$138.20,$63.36
2022-09-29,$12.22,3640.47,$142.48,$64.14
2022-09-28,$12.736,3719.04,$149.84,$68.36
2022-09-27,$12.413,3647.29,$151.76,$67.17
2022-09-26,$12.228,3655.04,$150.77,$66.30
2022-09-23,$12.516,3693.23,$150.43,$67.96
2022-09-22,$12.561,3757.99,$152.74,$69.50
2022-09-21,$13.261,3789.93,$153.72,$74.48
